緯度情報,経度情報,愛工大からの距離,データ名
35.3178828329,137.0461070538,0.1502086041,あい農パーク春日井（春日井市ふれあい農業公園）
35.3270781919,137.0614467554,0.1526498483,内々神社庭園
35.2984864164,137.0123999284,0.1528753797,くりの木ランチ
35.0410475607,137.0486605167,0.1562454896,刈谷ハイウェイオアシス
35.0408982302,137.0484995842,0.1564478894,【西三河】刈谷ハイウェイオアシス
35.3033319900,137.0092128480,0.1586229116,大草のマメナシ自生地
35.0413373175,137.1835903466,0.1586264655,琴平町シデコブシ自生地
35.2629267490,136.9749265909,0.1593687614,三つ又ふれあい公園
35.0413777023,137.0372947520,0.1609702735,でんまぁと刈谷南 産直センター刈谷中部 産直センター刈谷北部
35.2718206223,136.9736711691,0.1650462049,グリーンセンター春日井中央店
35.0752633901,137.2397303581,0.1665716978,巴川（ともえがわ）おう穴
35.0752546096,137.2398269176,0.1666508478,【豊田加茂】巴川おう穴
35.3116670616,137.0057559013,0.1672112288,市民四季の森
35.0711189092,137.2370910645,0.1673259644,【豊田加茂】天下峯
35.3116845715,137.0055735111,0.1673417339,市民四季の森
35.0712242800,137.2372734547,0.1673905869,天下峯
35.2538900822,136.9596004486,0.1688532229,【尾張】春日井・小牧でゆったり
35.2560190242,136.9598203897,0.1695540684,朝宮公園
35.2560978728,136.9597560167,0.1696460110,朝宮公園
35.0535201274,137.2274211716,0.1730738810,松平氏遺跡
35.0558650559,137.2310721874,0.1737798110,滝川ふれあい工房
35.0557596654,137.2310721874,0.1738571780,滝川ふれあい工房
35.0675186597,137.2429060936,0.1740575234,王滝渓谷
35.2940845308,136.9785000603,0.1742121449,グリーンセンター桃花台店
35.0477825903,137.0036100625,0.1742719659,阿野一里塚
35.2323157971,136.9450349868,0.1749796694,グリーンセンター味美店
35.3223565377,137.0057553749,0.1755446594,大山廃寺跡
35.1426766596,137.2852790447,0.1769887518,足助みたち栗園
35.0410161649,137.0062979604,0.1779631969,愛知豊明花き地方卸売市場
35.0410161649,137.0062979604,0.1779631969,愛知豊明花き地方卸売市場
35.0053070622,137.1207385927,0.1782713639,明治緑道水車公園の三連水車
35.2920633796,136.9715781360,0.1783734155,高根遺跡
35.0051476942,137.1207368374,0.1784305078,明治緑道（水車公園）
35.3191602869,136.9954013293,0.1796297497,兒（ちご）の森
35.3191697005,136.9952630997,0.1797274179,兒（ちご）の森
35.0091077957,137.0690978779,0.1797584559,八橋伝説地
35.0599738151,136.9809135056,0.1808174424,桶狭間古戦場伝説地
35.1231454534,136.9421163526,0.1812391334,大曲輪貝塚
35.0154026416,137.1811723709,0.1812980220,おかざき自然体験の森
35.0153762809,137.1812045574,0.1813345471,おかざき自然体験の森
35.2259720209,136.9366262245,0.1814768000,二子山古墳
35.2273424906,136.9367761585,0.1816575957,白山神社古墳・御旅所古墳（白山神社古墳）
35.2270422973,136.9353488488,0.1829710519,白山神社古墳・御旅所古墳（御旅所古墳）
35.2970889888,136.9688942220,0.1835782268,ＪＡ尾張中央桃選果場
35.2970889888,136.9688942220,0.1835782268,もも産地ＪＡ尾張中央・果実共同選果場
35.0051267789,137.1624166767,0.1849961079,八柱神社のクスノキ
35.0066047210,137.1724077668,0.1865078839,岩津第一号古墳
35.0017887400,137.0702240435,0.1866023849,来迎寺一里塚
35.0015181939,137.0700928935,0.1868958175,来迎寺一里塚
35.0203078390,137.0192470600,0.1881502181,刈谷西部の縄文遺跡（芋川遺跡）
35.2377153068,137.2936642170,0.1886087188,和紙のふるさと
35.2385828333,137.2937393188,0.1889321464,和紙のふるさと
35.0033263485,137.0551360273,0.1891666038,旧東海道「池鯉鮒」の松並木
35.2321973765,137.2958354230,0.1891916106,緑の公園
35.2406749919,136.9322116260,0.1896802977,エアフロントオアシス（空港南側）
35.3341378799,136.9954454899,0.1911730793,入鹿池
35.3342079000,136.9954133034,0.1912480846,入鹿池
35.1538859574,136.9239544928,0.1913788039,八幡山古墳
35.0011346086,137.0538791119,0.1916386073,JAあいち中央　グリーンセンター知立
35.2709805577,137.2835971675,0.1917219772,西村自然農園
34.9904474964,137.1399056917,0.1948256661,北野廃寺跡
34.9897231372,137.0900759702,0.1950458587,JAあいち中央 ファーマーズマーケット でんまぁと安城北部
35.3312297353,136.9852606607,0.1953920900,ヒトツバタゴ自生地
35.1551028879,136.9194835915,0.1956175757,鶴舞公園
35.2619683733,137.2924606244,0.1958625820,小原村前洞の四季桜
35.0345426483,137.2403311729,0.1958690951,二畳ケ滝
35.0344152681,137.2402882576,0.1959380546,二畳ケ滝
34.9870535032,137.1035405412,0.1965884371,永安寺の雲竜の松
34.9867699329,137.0997405052,0.1970916241,【西三河】明治川神社
34.9865918239,137.0999371518,0.1972561656,明治用水（明治川神社から中井筋）
34.9864710735,137.1003842354,0.1973474697,【西三河】明治用水沿線の桜並木、梨畑
35.0505242391,137.2604698546,0.1984797520,松平氏遺跡
35.0507051485,137.2607964277,0.1986015155,松平郷・散策道
35.0505821851,137.2607105970,0.1986198806,松平郷・散策道
