緯度情報,経度情報,愛工大からの距離,データ名
35.1297269704,137.3067010254,0.2009625854,足助のヒメハルゼミ
35.0505574467,137.2640874050,0.2011594643,松平氏遺跡
35.2754970818,137.2922436685,0.2014767959,大福魚苑
35.0098486809,137.2171333649,0.2023841106,【西三河】駒立ぶどう狩り園
35.0460867585,137.2633586339,0.2036010741,松平氏遺跡
35.0335104235,136.9739341736,0.2045030615,豊明フレッシュセンター 及び西部産直センター
35.0118632799,137.0000546190,0.2054145994,刈谷西部の縄文遺跡（八ツ崎貝塚）
35.2538383805,136.9198435884,0.2056342250,名古屋空港・地元産品コーナー
35.2447471571,137.3102608855,0.2065364501,四季桜・四季の回廊
35.1358120877,137.3140417875,0.2065592541,中馬街道
35.1356856616,137.3140597343,0.2066058861,中馬街道
35.1311230797,137.3129868507,0.2066691448,花もみじ
35.1314521206,137.3131692410,0.2067626718,香嵐渓
35.1304562194,137.3130834103,0.2069322152,【豊田加茂】香嵐渓グリーンファーム
35.3299715773,136.9665527344,0.2072166179,【尾張】春日井・小牧の伝統文化
35.1334833704,137.3144030571,0.2074589203,カタクリ
35.1297937409,137.3139524460,0.2079422676,三州足助屋敷
35.1296489602,137.3139417171,0.2079692826,三州足助屋敷
35.0107323940,136.9971314381,0.2079748797,刈谷西部の縄文遺跡（天子神社貝塚）
34.9946768913,137.0250442501,0.2082416940,万福寺のイブキ
34.9871853864,137.1870953355,0.2097352466,おかざき農遊館
35.1343120817,137.3169689732,0.2097547921,飯盛城址
34.9868878793,137.1872157522,0.2100561092,【西三河】おかざき農遊館
35.1851487356,136.9027137668,0.2103353018,名古屋城二之丸庭園
35.1372849661,137.3184997903,0.2105722355,中馬館
35.1372849661,137.3184997903,0.2105722355,中馬館
35.0618984405,137.2854030132,0.2108884707,焙烙山（ほうろくさん）
35.0617703839,137.2857320173,0.2112311720,六所山（ろくしょさん）
35.2609337753,136.9153654575,0.2123336303,神明公園
35.1980445414,137.3252499104,0.2127118828,お須原山縁結び岩
35.1980357742,137.3253357410,0.2127969076,お須原山縁結び岩
35.0646479180,136.9362574170,0.2129734916,大高城跡　附　丸根砦跡　鷲津砦跡
35.3089986012,136.9391406397,0.2145077913,岩崎清流亭の藤
35.3089263841,136.9390858575,0.2145099418,岩崎の清流亭の藤
35.1847967331,136.8984106978,0.2146356678,特別史跡　名古屋城跡
35.2707711428,136.9162559509,0.2153051198,エアフロントオアシス（空港北側）
35.1840559726,136.8976994307,0.2153434316,名古屋城のカヤ
35.1314866540,136.9031942936,0.2161765025,断夫山古墳
35.1391050556,137.3261740012,0.2176888045,今朝平遺跡
35.1343695585,137.3253250122,0.2178745061,城跡公園足助城
34.9672897705,137.0830553239,0.2181928030,明治用水（明治用水歴史資料室・豊田安城自転車道）
34.9673066293,137.0828318596,0.2182069298,明治用水
34.9984774200,136.9943083657,0.2197692540,刈谷西部の縄文遺跡（山の神遺跡）
35.0214594414,136.9617798713,0.2216052737,収穫体験〔ぶどう狩り〕
35.3126371191,136.9327189780,0.2218455227,熊野神社の五枚岩
35.1388892076,137.3325165392,0.2239451141,百年草
35.3701018799,136.9846407684,0.2265830691,犬山里山学センター
35.3701018799,136.9846407684,0.2265830691,犬山里山学センター
35.2925762574,136.9127884175,0.2280750944,小牧山
35.2927892006,136.9126939774,0.2282599798,小牧山
35.2928592565,136.9126081467,0.2283688850,小牧山
34.9582037481,137.1523004602,0.2286046398,八丁蔵通り
35.2151479262,136.8863381035,0.2289143238,庄内緑地公園・グリーンプラザ
34.9920173761,136.9854730368,0.2300125942,刈谷市歴史博物館
34.9575462763,137.1590127809,0.2304967188,岡崎公園
34.9567598770,137.1597522497,0.2314154971,岡崎公園
34.9725289453,137.0171070099,0.2316791969,【西三河】フローラルガーデンよさみ
34.9715311042,137.0172035694,0.2325480259,【西三河】依佐美送信所記念館
35.3265382126,136.9286862044,0.2333925405,青塚古墳
34.9886158056,136.9837510586,0.2337985393,刈谷市亀城公園
34.9488170857,137.0950190065,0.2352864050,ＪＡあいち中央 産直センター安城東部
35.2500087809,136.8856143951,0.2369775824,【尾張】北名古屋市歴史民俗資料館（昭和日常博物館）
35.2794335874,136.8962191988,0.2371332760,宇都宮神社古墳
35.3756316278,136.9740629196,0.2371992104,中島池
34.9788731398,136.9899684175,0.2387117702,刈谷西部の縄文遺跡（本刈谷貝塚）
34.9919426661,136.9677382708,0.2403616589,【知多】極楽寺
34.9458353203,137.1513829685,0.2406508078,真宮遺跡
34.9444547756,137.0702036393,0.2427668990,都市に広がる集団農地
34.9865326034,136.9687306881,0.2441051032,【知多】傳宗院
34.9854496043,136.9696027626,0.2444667164,入海貝塚
34.9988508534,136.9476270676,0.2478405888,【知多】あいち健康の森
35.0374903988,137.3136129480,0.2480361211,昇匠 SHOW BAKERY(しょうべーかりー)
35.2030127776,137.3604107957,0.2481442186,杉本の貞観スギ
35.2033310059,137.3604941368,0.2482526301,貞観杉
35.2034000796,137.3606094031,0.2483730741,貞観杉
35.3283754205,136.9102236472,0.2492981728,大口町朝市会
35.3276345027,136.9096899033,0.2493032434,【尾張】北愛知の文化
35.3284135351,136.9100546837,0.2494578064,【尾張】大口歴史民俗資料館
35.0439111392,136.9057416916,0.2498678098,【知多】聚楽園公園
35.0052048161,136.9369840622,0.2505079518,おはよう君
35.0004767415,136.9410932064,0.2510612181,【知多】常福寺
35.1931391311,136.8620753288,0.2511549980,【尾張】西枇杷島問屋記念館
34.9465781052,137.0285428762,0.2514567030,都市に広がる集団農地
34.9903235773,136.9518892508,0.2515022714,東浦ぶどう　ぶどう狩り
35.2780558701,136.8773713170,0.2539646589,五条川の桜と尾北自然歩道
35.2780558701,136.8773713170,0.2539646589,五条川の桜と尾北自然歩道
34.9290754226,137.0963934746,0.2548810828,二子古墳
34.9931072551,136.9432175159,0.2550613524,ＪＡあぐりタウン　げんきの郷（大府市）
34.9414160131,137.1936963415,0.2550829148,大平一里塚
34.9931380176,136.9430619478,0.2551420166,ＪＡあぐりタウン げんきの郷
34.9776893917,136.9615316391,0.2554940958,【知多】於大公園
35.3563845232,136.9242963787,0.2560162034,長泉塚古墳
35.0093360902,137.3016802625,0.2566844830,下山小学校のヤマザクラ
34.9308290569,137.0609664917,0.2578955066,安城産業文化公園デンパーク
34.9308466489,137.0608270168,0.2579064785,安城市デンパーク
34.9305211974,137.0612132549,0.2581473758,和食処「ふるさと館」の郷土料理
